id,name,group,industry,url
ntt-holding,NTT（持株）,NTT持株,通信,https://news.mynavi.jp/techplus/article/20260105-3925351/
ntt-docomo,NTTドコモ,NTTグループ,通信,https://www.docomo.ne.jp/info/news_release/detail/20260101_00m.html
ntt-docomo-business,NTTドコモビジネス,NTTグループ,通信,https://www.ntt.com/about-us/press-releases/news/article/2026/0105.html
ntt-data,NTTデータグループ,NTTグループ,IT,https://www.nttdata.com/global/ja/news/topics/2026/010500/
ntt-east,NTT東日本,NTTグループ,通信,https://news.mynavi.jp/techplus/article/20260106-3930323/
ntt-west,NTT西日本,NTTグループ,通信,https://www.ntt-west.co.jp/corporate/message/archive/260101.html
ntt-data-es,NTTデータエンジニアリングシステムズ,NTTグループ,IT,https://www.nttd-es.co.jp/magazine/backnumber/no114/no114-greetings.html
ntt-data-at,NTTデータ先端技術,NTTグループ,IT,https://www.intellilink.co.jp/topics/notification/2026/010500.aspx
mitsubishi-corp,三菱商事,商社,総合商社,https://www.mitsubishicorp.com/jp/ja/news/release/2026/20260105003.html
marubeni,丸紅,商社,総合商社,https://www.marubeni.com/jp/news/2026/release/00002.html
itochu,伊藤忠商事,商社,総合商社,https://www.itochu.co.jp/ja/news/press/2026/260105.html
sumitomo-corp,住友商事,商社,総合商社,https://www.sumitomocorp.com/ja/jp/news/release/2026/group/20670
toyota,トヨタ自動車,他業種,自動車,https://toyotatimes.jp/toyota_news/1093.html
familymart,ファミリーマート,他業種,小売,https://www.family.co.jp/company/news_releases/2026/20260105_01.html
seven-i,セブン＆アイ,他業種,小売,https://www.7andi.com/company/news/release/202601051100.html
jfe-steel,JFEスチール,他業種,鉄鋼,https://www.jfe-steel.co.jp/release/2026/01/260105.html
sekisui-chem,積水化学,他業種,化学,https://www.sekisui.co.jp/news/2026/1445436_42699.html
nomura,野村ホールディングス,他業種,証券,https://www.nomuraholdings.com/jp/news/nr/news20250106103093.html
mitsui-es,三井E&S,他業種,機械,https://www.mes.co.jp/news/2026/0105/
ihi,IHI,他業種,機械,https://www.ihi.co.jp/all_news/2025/ir/1201788_13750.html
ms-japan,日本マイクロソフト,他業種,IT,https://news.microsoft.com/source/asia/features/240105-microsoft-japan-presidents-new-year-message/?lang=ja
nyk,日本郵船,他業種,海運,https://www.nyk.com/news/2026/20260105_01.html
mitsubishi-materials,三菱マテリアル,他業種,素材,https://www.mmc.co.jp/corporate/ja/news/press/2026/26-0105a.html
